rank,industry,sector,rs_score,percentile,pct_1m,pct_3m,pct_6m,tickers
1,Semiconductor Equipment & Materials,Technology,177.38,99,99,95,86,"AEHR,TRT,ASYS,ICHR,UCTT,FORM,KLIC,INTT,AMKR,TER,VECO,LRCX,ACMR,ACLS,COHU,ATOM,PLAB,AMAT,ONTO,NVMI,KLAC,CAMT,Q,ASML,ENTG,IPGP,AMBA,DQ,SMTK"
2,Semiconductors,Technology,171.08,99,95,86,81,"MXL,MRAM,NVTS,MU,TSEM,INTC,AIP,WOLF,SIMO,QUIK,POET,LASR,HIMX,SITM,AMD,VSH,MRVL,SKYT,AMBQ,SMTC,GCTS,ASX,STM,MTSI,UMC,IMOS,ON,ALAB,GSIT,LSCC,AOSL,SYNA,GFS,DIOD,CEVA,ARM,CRDO,MPWR,TXN,POWI,ADI,IPWR,VLN,RMBS,MX,TSM,ALMU,SLAB,MCHP,ALGM,AVGO,NXPI,MCHPP,CRUS,QCOM,NVEC,NVDA,WKEY,QRVO,PRSO,INDI,SWKS,LEDS,PI,PXLW,SQNS,LAES,NA,MOBX,ICG"
3,Oil & Gas Drilling,Energy,166.43,98,97,94,60,"NBR,BORR,PTEN,VAL,RIG,NE,HP,SDRL,PDS,SOC"
4,Aluminum,Basic Materials,163.21,97,99,97,88,"CENX,CSTM,KALU,AA"
5,Silver,Basic Materials,160.8,97,97,99,97,"NEWP,SVM,AG,AYA,EXK"
6,Communication Equipment,Technology,157.86,96,98,93,93,"AAOI,LITE,CIEN,VIAV,ONDS,VSAT,WATT,SILC,NOK,FIEE,TSAT,OCC,FEIM,VISN,ASTS,ADTN,LTRX,HPE,CSCO,DGII,GILT,AIRG,EXTR,AMPG,ERIC,CLFD,HLIT,INSG,BKTI,CMTL,CRNT,UI,UTSI,NTGR,AUDC,BOSC,MITQ,ZBRA,MSI,SYNX,BDC,FKWL,AVNW,CLRO"
7,Financial Conglomerates,Financial Services,148.8,95,92,91,44,"RILYL,RILYP,RILY,IX,VOYA,HTH,FRHC,TREE"
8,Oil & Gas Equipment & Services,Energy,133.66,95,95,89,65,"EFXT,PUMP,DWSN,STAK,NESR,SEI,LBRT,FET,WTTR,KGS,SND,KLXE,FTI,AESI,HAL,ACDC,WFRD,INVX,TS,OII,FLOC,TDW,NGS,SLB,HLX,AROC,OIS,RES,NOV,NPKI,NEXT,BKR,FTK,WHD,XPRO,WBI,USAC,RNGR,NCSM,LB,DTI,VTOL,NOA,CLB,LSE,OMSE,GEOS,RCON"
9,Electronic Components,Technology,125.83,94,93,90,84,"OPTX,VICR,TTMI,LPTH,WBX,FLEX,GLW,KOPN,FN,BELFA,SANM,BELFB,BHE,CLS,OUST,PLXS,LFUS,JBL,KN,ROG,MPTI,RELL,MEI,RAL,CPSH,ALNT,CTS,LYTS,WETH,DAIO,LINK,DSWL,APH,KULR,DAKT,TEL,OSIS,ELTK,OST,MTEK,OLED,GAUZ,REFR,NEON,IMTE,HOLO,MSAI,SELX"
10,Copper,Basic Materials,125.4,93,96,98,95,"HBM,TGB,SCCO,ERO,FCX,IE"
11,Other Industrial Metals & Mining,Basic Materials,119.52,93,90,96,97,"ALM,ELVR,LAR,CRML,SCZM,NEXA,USAS,SGML,TII,MTRN,TMQ,NAK,SKE,WRN,UAMY,NVA,CMP,RIO,TECK,BHP,USAR,VALE,ALOY,LAC,GRO,MP,XPL,SLI,NB,USGO,FURY,LZM,CHNR,IONR,IPX,TMC,VZLA,GSM,ATLX,NMG,LGO,WWR,OMEX,NEXM,FNUC,ELBM,FMST"
