rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,9475260,45.57,575.51,0,0,-68.17,2288.5,31.6,-17.3,-28.6,-49.5,3.0,99,99,99,99,100.0,1,1,1,1,1,5,3742860296.743286,65423184.0,0.17969999,0.391,9219692,9604682,4,99.2,-0.5,2026-07-17
2,ERAS,Healthcare,Biotechnology,NASDAQ,5963177,19.02,455.12,0,0,-21.66,1279.1,84.3,0.6,8.5,34.0,90.1,99,99,99,99,99.9,1,1,1,1,1,5,5762543776.796139,310984542.0,0.1166,,5807652,5453472,4,99.2,-0.4,2026-07-17
3,INHD,Basic Materials,Steel,NASDAQ,9309793,39.49,400.38,77,55,-99.48,3661.0,0.8,0.0,0.0,79.8,-68.8,99,22,0,0,0.1,1,0,0,0,0,1,178522371.6078415,4520698.0,0.59970003,0.949,0,5834056,0,5.5,17.6,2026-07-17
4,CLYM,Healthcare,Biotechnology,NASDAQ,1529985,12.58,387.78,0,0,-12.73,807.1,89.7,-5.0,-2.6,7.1,94.2,99,99,99,98,99.6,1,1,1,1,1,5,801682322.0,57263023.0,0.1257,,1340596,1283445,4,98.9,-0.1,2026-07-17
5,BAND,Technology,Software - Infrastructure,NASDAQ,1474943,68.88,370.11,0,-7,-12.9,460.1,89.9,0.6,12.2,18.3,161.0,99,99,92,27,97.0,1,1,0,0,0,2,2416666439.839973,32017307.0,0.1187,0.198,1134569,1332761,3,78.8,16.1,2026-07-17
6,MXL,Technology,Semiconductors,NASDAQ,3673408,74.4,357.26,0,-4,-42.01,450.5,51.1,-17.6,-22.9,-20.9,88.6,99,99,95,70,97.5,1,1,0,0,0,2,8175546329.97258,89545959.0,0.0652,0.43,2976925,4335991,3,90.4,7.0,2026-07-17
7,SLS,Healthcare,Biotechnology,NASDAQ,9867304,11.75,347.95,1,-1,-26.01,848.9,83.9,0.5,6.6,39.5,167.4,99,98,96,98,98.9,1,1,0,1,1,4,2509031689.2456245,196632574.0,0.3233,,9086772,10423894,4,97.7,-0.2,2026-07-17
8,EVC,Communication Services,Advertising Agencies,NYSE,2007761,10.51,340.52,0,-11,-23.51,439.9,75.7,-7.0,-8.3,7.5,128.2,99,99,88,90,96.6,1,1,0,0,0,2,1082380777.8660965,92039180.0,0.14310001,1.144,1620064,3544366,3,93.4,4.1,2026-07-17
9,QTTB,Healthcare,Biotechnology,NASDAQ,1852173,15.21,338.44,0,-2,1.26,823.3,67.9,0.2,9.3,35.5,158.0,99,99,97,90,98.2,1,1,0,0,1,3,190081412.7968359,16956415.0,0.083100006,,4568719,1702657,4,96.1,2.4,2026-07-17
10,ANRO,Healthcare,Biotechnology,NYSE,643341,27.33,337.04,0,0,-3.91,908.8,97.9,1.8,5.5,18.4,49.1,99,99,99,99,99.8,1,1,1,1,1,5,929287515.1352692,35093940.0,0.082100004,,729823,518474,4,99.2,-0.4,2026-07-17
11,ABVX,Healthcare,Biotechnology,NASDAQ,2470226,137.77,334.15,0,0,-7.43,1273.4,93.6,-1.5,10.4,16.7,19.0,99,99,99,99,99.9,1,1,1,1,1,5,12193777061.113497,87160669.0,0.054899998,0.352,1436929,2361211,4,99.2,-0.5,2026-07-17
